benchmark,solver,status,result,time_real,time_cpu,memory
2019/beem/anderson.3.prop1-func-interl.btor2,btormc,ok,sat,1.564650454558432,1.561142245,21.880832
2019/beem/anderson.3.prop1-func-interl.btor2,ric3,ok,sat,0.1867879405617714,1.999927871,121.503744
2019/beem/anderson.3.prop1-func-interl.btor2,nuxmv,ok,sat,1.3358211480081081,7.731614902,343.089152
2019/beem/anderson.3.prop1-func-interl.btor2,pono,ok,sat,0.9979958534240723,13.522639128,442.314752
2019/beem/anderson.3.prop1-func-interl.btor2,btor2-selectmc,ok,sat,2.133886056020856,23.899101922,143.70816
2019/beem/anderson.3.prop1-func-interl.btor2,avr,ok,sat,1.755478834733367,27.584879263,612.704256
2019/beem/anderson.3.prop1-func-interl.btor2,avr_dp,ok,sat,8.383791441097856,55.955013382,769.286144
2019/beem/anderson.3.prop1-func-interl.btor2,satvik,ok,sat,12.952821959741414,105.843838755,2564.182016
2019/beem/brp2.3.prop2-func-interl.btor2,btor2-selectmc,ok,unsat,2.6067897928878665,24.365481402,210.67776
2019/beem/brp2.3.prop2-func-interl.btor2,ric3,ok,unsat,4.84005968272686,77.088273925,542.16704
2019/beem/brp2.3.prop2-func-interl.btor2,nuxmv,ok,unsat,23.89750666730106,143.084251278,612.302848
2019/beem/brp2.3.prop2-func-interl.btor2,avr,ok,unsat,1961.13700937666,31454.799547405,36259.233792
2019/beem/brp2.3.prop2-func-interl.btor2,satvik,ok,unknown,62.681291623041034,646.850967989,1966.751744
2019/beem/brp2.3.prop2-func-interl.btor2,btormc,to,none,3601.00141492486,3599.865193085,3196.899328
2019/beem/brp2.3.prop2-func-interl.btor2,avr_dp,ok,"unknown,unknown",1946.2624369086698,6328.185445596,15094.771712
2019/beem/brp2.3.prop2-func-interl.btor2,pono,to,none,3601.0017264643684,50479.672888991,24497.782784
2019/beem/elevator.3.prop1-back-serstep.btor2,avr_dp,ok,unsat,0.5475564319640398,1.04434181,52.473856
2019/beem/elevator.3.prop1-back-serstep.btor2,ric3,ok,unsat,0.09312629234045744,1.284021655,114.91328
2019/beem/elevator.3.prop1-back-serstep.btor2,nuxmv,ok,unsat,0.56897156778723,3.034438818,434.110464
2019/beem/elevator.3.prop1-back-serstep.btor2,avr,ok,unsat,0.2509998343884945,3.630662539,429.604864
2019/beem/elevator.3.prop1-back-serstep.btor2,pono,ok,unsat,0.73739711381495,9.841011168,731.803648
2019/beem/elevator.3.prop1-back-serstep.btor2,btor2-selectmc,ok,unsat,1.8030434902757406,23.610887708,162.2016
2019/beem/elevator.3.prop1-back-serstep.btor2,satvik,ok,unknown,0.46062331181019545,3.213372291,240.750592
2019/beem/elevator.3.prop1-back-serstep.btor2,btormc,to,none,3601.0013816002756,3599.899836047,4414.21824
2019/beem/lamport_nonatomic.5.prop1-back-serstep.btor2,btormc,to,none,3601.0014016460627,3599.927860978,4017.709056
2019/beem/lamport_nonatomic.5.prop1-back-serstep.btor2,btor2-selectmc,to,none,3601.0013689920306,3621.632098987,496.693248
2019/beem/lamport_nonatomic.5.prop1-back-serstep.btor2,avr_dp,ok,"unknown,unknown",3408.299180057831,13374.634205793,15128.805376
2019/beem/lamport_nonatomic.5.prop1-back-serstep.btor2,nuxmv,to,none,3601.0014150766656,21595.835879254,9882.210304
2019/beem/lamport_nonatomic.5.prop1-back-serstep.btor2,pono,to,none,3601.001576008275,50482.436670978,34210.680832
2019/beem/lamport_nonatomic.5.prop1-back-serstep.btor2,avr,ok,unknown,3555.8309763139114,57002.381428117,73316.245504
2019/beem/lamport_nonatomic.5.prop1-back-serstep.btor2,ric3,to,none,3601.0016782023013,57569.837260965,7931.482112
2019/beem/lamport_nonatomic.5.prop1-back-serstep.btor2,satvik,ok,unknown,3600.0139986649156,84072.629366953,6896.693248
2019/beem/pgm_protocol.7.prop2-back-serstep.btor2,btormc,to,none,3601.001387231052,3599.937563802,2787.459072
2019/beem/pgm_protocol.7.prop2-back-serstep.btor2,btor2-selectmc,to,none,3601.001407752745,3621.408258323,522.60864
2019/beem/pgm_protocol.7.prop2-back-serstep.btor2,nuxmv,to,none,3601.0014971671626,21595.70717224,9056.817152
2019/beem/pgm_protocol.7.prop2-back-serstep.btor2,avr_dp,ok,"unknown,unknown",3564.225667369552,25031.025837688,16360.464384
