benchmark,solver,result,time_real,time_cpu,memory
2019/beem/anderson.3.prop1-func-interl.aig,voiraig,sat,0.03645940963178873,0.005839539,0.917504
2019/beem/anderson.3.prop1-func-interl.aig,ncip-portfolio,sat,0.367299179546535,0.006078036,0.794624
2019/beem/anderson.3.prop1-func-interl.aig,mc-zhulf,sat,0.8206031741574407,0.006296381,0.856064
2019/beem/anderson.3.prop1-func-interl.aig,supercar,sat,1.1765550170093775,0.006394176,0.811008
2019/beem/anderson.3.prop1-func-interl.aig,ncip-minicraig,sat,1.8860562080517411,0.006417863,0.765952
2019/beem/anderson.3.prop1-func-interl.aig,ric3,sat,0.8759091850370169,0.007357884,0.950272
2019/beem/anderson.3.prop1-func-interl.aig,ncip-cadicraig,sat,2.192184219136834,0.008012455,0.782336
2019/beem/anderson.3.prop1-func-interl.aig,pavy,sat,4.815379843115807,0.033494835,3.969024
2019/beem/anderson.3.prop1-func-interl.aig,fric3,sat,5.748947774001863,0.036050297,5.77536
2019/beem/brp2.3.prop2-func-interl.aig,voiraig,unsat,0.8044703019841108,0.116193646,5.763072
2019/beem/brp2.3.prop2-func-interl.aig,ric3,unsat,4.153004865162075,0.143621435,6.074368
2019/beem/brp2.3.prop2-func-interl.aig,mc-zhulf,unsat,8.532643090002239,0.159524354,9.596928
2019/beem/brp2.3.prop2-func-interl.aig,pavy,unsat,0.5696244053542614,0.249856936,5.709824
2019/beem/brp2.3.prop2-func-interl.aig,fric3,unsat,8.209056822001003,0.283827638,10.108928
2019/beem/brp2.3.prop2-func-interl.aig,supercar,unsat,15.47741721663624,2.173034994,76.30848
2019/beem/brp2.3.prop2-func-interl.aig,ncip-portfolio,unknown,0.2627427512779832,0.005823135,0.806912
2019/beem/brp2.3.prop2-func-interl.aig,ncip-cadicraig,unknown,0.6269359877333045,0.006258344,0.884736
2019/beem/brp2.3.prop2-func-interl.aig,ncip-minicraig,unknown,1.4426484340801835,0.006259282,0.83968
2019/beem/elevator.3.prop1-back-serstep.aig,voiraig,unsat,0.5772200841456652,0.107400358,7.069696
2019/beem/elevator.3.prop1-back-serstep.aig,ric3,unsat,1.572877018712461,0.107478469,7.118848
2019/beem/elevator.3.prop1-back-serstep.aig,mc-zhulf,unsat,8.55249158386141,0.110822043,7.512064
2019/beem/elevator.3.prop1-back-serstep.aig,fric3,unsat,8.038094969000667,0.12062295,8.237056
2019/beem/elevator.3.prop1-back-serstep.aig,ncip-minicraig,unsat,4.0788131868466735,0.132302177,7.426048
2019/beem/elevator.3.prop1-back-serstep.aig,ncip-cadicraig,unsat,2.448219389654696,0.137552858,7.180288
2019/beem/elevator.3.prop1-back-serstep.aig,ncip-portfolio,unsat,7.885710495524108,0.138387761,7.143424
2019/beem/elevator.3.prop1-back-serstep.aig,supercar,unsat,13.184925459325314,0.162035583,8.695808
2019/beem/elevator.3.prop1-back-serstep.aig,pavy,unsat,5.724915667437017,0.832763526,7.135232
2019/beem/lamport_nonatomic.5.prop1-back-serstep.aig,fric3,unsat,14.715497242985293,6.849892762,23.248896
2019/beem/lamport_nonatomic.5.prop1-back-serstep.aig,supercar,unsat,25.09825845155865,24.681565353,105.566208
2019/beem/lamport_nonatomic.5.prop1-back-serstep.aig,voiraig,unknown,0.08087825309485197,0.005307066,0.856064
2019/beem/lamport_nonatomic.5.prop1-back-serstep.aig,ncip-portfolio,unknown,0.4075762638822198,0.005699999,0.864256
2019/beem/lamport_nonatomic.5.prop1-back-serstep.aig,mc-zhulf,unknown,0.23767447099089622,0.005956918,0.888832
2019/beem/lamport_nonatomic.5.prop1-back-serstep.aig,ncip-minicraig,unknown,0.34861257392913103,0.006059869,0.892928
2019/beem/lamport_nonatomic.5.prop1-back-serstep.aig,ncip-cadicraig,unknown,1.5052547017112374,0.00627327,0.995328
2019/beem/lamport_nonatomic.5.prop1-back-serstep.aig,ric3,unknown,4.017352852970362,0.006557253,0.909312
2019/beem/lamport_nonatomic.5.prop1-back-serstep.aig,pavy,unknown,4.812431203201413,0.036520172,5.005312
2019/beem/pgm_protocol.7.prop2-back-serstep.aig,ncip-minicraig,unknown,0.460753317020135,0.005816538,0.827392
2019/beem/pgm_protocol.7.prop2-back-serstep.aig,ncip-cadicraig,unknown,1.3818816505372524,0.00587158,0.786432
2019/beem/pgm_protocol.7.prop2-back-serstep.aig,ncip-portfolio,unknown,0.40501509699970484,0.005951375,0.802816
2019/beem/pgm_protocol.7.prop2-back-serstep.aig,mc-zhulf,unknown,0.1455239809874911,0.006146489,0.802816
2019/beem/pgm_protocol.7.prop2-back-serstep.aig,ric3,unknown,0.4648539712652564,0.006535062,0.954368
2019/beem/pgm_protocol.7.prop2-back-serstep.aig,supercar,unknown,0.4161901150000631,0.006556571,0.815104
2019/beem/pgm_protocol.7.prop2-back-serstep.aig,voiraig,unknown,0.16610549949109554,0.006732413,1.011712
2019/beem/pgm_protocol.7.prop2-back-serstep.aig,pavy,unknown,10.974087883718312,0.059932022,13.479936
2019/beem/pgm_protocol.7.prop2-back-serstep.aig,fric3,unknown,4.6390552910161205,0.06387676,10.665984
2019/goel/crafted/sw_ball2004_2/sw_ball2004_2.aig,ric3,unsat,18.591339473612607,0.110177283,4.866048
2019/goel/crafted/sw_ball2004_2/sw_ball2004_2.aig,ncip-minicraig,unsat,11.771416510018753,0.297858745,27.29984
2019/goel/crafted/sw_ball2004_2/sw_ball2004_2.aig,pavy,unsat,0.41832579486072063,0.299433545,5.414912
2019/goel/crafted/sw_ball2004_2/sw_ball2004_2.aig,ncip-portfolio,unsat,16.104599261656404,0.830882422,26.714112
2019/goel/crafted/sw_ball2004_2/sw_ball2004_2.aig,fric3,unsat,9.147855565010104,0.924059381,15.171584
2019/goel/crafted/sw_ball2004_2/sw_ball2004_2.aig,mc-zhulf,unsat,10.170376079011476,1.287255046,30.539776
2019/goel/crafted/sw_ball2004_2/sw_ball2004_2.aig,voiraig,unsat,5.219283124431968,2.761292941,23.81824
2019/goel/crafted/sw_ball2004_2/sw_ball2004_2.aig,supercar,unsat,6.836648829999831,5.635097629,73.064448
2019/goel/crafted/sw_ball2004_2/sw_ball2004_2.aig,ncip-cadicraig,unknown,2.1478398414328694,0.006083781,0.913408
2019/goel/industry/cal178/cal178.aig,ncip-portfolio,unsat,2.240906729362905,0.054587205,4.64896
2019/goel/industry/cal178/cal178.aig,ncip-minicraig,unsat,2.361351347528398,0.05593802,4.616192
2019/goel/industry/cal178/cal178.aig,ncip-cadicraig,unsat,0.6206420240923762,0.057119346,4.509696
2019/goel/industry/cal178/cal178.aig,mc-zhulf,unsat,4.991004944778979,0.058796176,5.074944
2019/goel/industry/cal178/cal178.aig,supercar,unsat,0.8613847769993299,0.070806078,4.677632
2019/goel/industry/cal178/cal178.aig,voiraig,unsat,0.8263003192842007,0.080135887,4.734976
2019/goel/industry/cal178/cal178.aig,ric3,unsat,3.7472389191389084,0.083594221,4.54656
2019/goel/industry/cal178/cal178.aig,fric3,unsat,8.399159777967725,0.085952114,6.217728
2019/goel/industry/cal178/cal178.aig,pavy,unsat,0.3291611634194851,0.160566964,5.500928
2019/goel/industry/cal182/cal182.aig,mc-zhulf,unsat,9.718194939021487,0.93451061,73.408512
2019/goel/industry/cal182/cal182.aig,fric3,unsat,9.17968771100277,1.050958613,76.197888
2019/goel/industry/cal182/cal182.aig,ric3,unsat,25.278232875280082,1.090032086,74.678272
2019/goel/industry/cal182/cal182.aig,voiraig,unsat,3.602261036634445,1.188896628,74.1376
2019/goel/industry/cal182/cal182.aig,supercar,unsat,4.034587719477713,1.314953387,74.764288
