benchmark,solver,status,result,time_real,time_cpu,memory
2019/wolf/2019A/picorv32_mutAX_mem-p5.btor2,nuxmv,ok,sat,42.051951012574136,210.366470141,3666.98496
2019/wolf/2019A/picorv32_mutAX_mem-p5.btor2,pono,ok,sat,36.37362880539149,220.930426159,2469.92896
2019/wolf/2019A/picorv32_mutAX_mem-p5.btor2,avr,ok,sat,246.97070941422135,3696.56101608,4770.398208
2019/wolf/2019A/picorv32_mutAX_mem-p5.btor2,btor2-cert,to,none,3601.0014794010203,3836.332229029,22095.794176
2019/wolf/2019A/picorv32_mutBX_mem-p4.btor2,btormc,ok,sat,103.1281935442239,103.085189698,378.851328
2019/wolf/2019A/picorv32_mutBX_mem-p4.btor2,nuxmv,ok,sat,47.11261862516403,235.638873827,3551.424512
2019/wolf/2019A/picorv32_mutBX_mem-p4.btor2,pono,ok,sat,53.67394595686346,324.949787611,2913.005568
2019/wolf/2019A/picorv32_mutBX_mem-p4.btor2,avr,ok,sat,307.3281978080049,4221.192478264,4571.553792
2019/wolf/2019A/picorv32_mutBX_mem-p4.btor2,btor2-cert,to,none,3601.001377770677,3928.448275199,18603.626496
2019/wolf/2019A/picorv32_mutBY_mem-p6.btor2,pono,ok,sat,24.09644797258079,145.286088217,1395.027968
2019/wolf/2019A/picorv32_mutBY_mem-p6.btor2,btormc,ok,sat,259.0123270601034,258.920200711,340.074496
2019/wolf/2019A/picorv32_mutBY_mem-p6.btor2,nuxmv,ok,sat,129.63708613440394,647.946743928,3372.568576
2019/wolf/2019A/picorv32_mutBY_mem-p6.btor2,avr,ok,sat,320.2860689489171,3500.13553596,3025.006592
2019/wolf/2019A/picorv32_mutBY_mem-p6.btor2,btor2-cert,to,none,3601.0014158245176,10831.403971093,19412.942848
2019/wolf/2019A/picorv32_mutBY_mem-p8.btor2,pono,ok,sat,144.3906593322754,868.447206048,2064.949248
2019/wolf/2019A/picorv32_mutBY_mem-p8.btor2,nuxmv,ok,sat,1535.5348292896524,7674.338385483,5239.119872
2019/wolf/2019A/picorv32_mutBY_mem-p8.btor2,avr,ok,sat,2635.5461302977055,26687.14916077,5762.94912
2019/wolf/2019A/picorv32_mutBY_mem-p8.btor2,btormc,to,none,3601.0014234380797,3599.794606706,579.305472
2019/wolf/2019A/picorv32_mutBY_mem-p8.btor2,btor2-cert,to,none,3601.0014414619654,4128.846138237,18441.723904
2019/wolf/2019C/dblclockfft_butterfly_ck1-p063.btor2,btormc,ok,unsat,1.8889225358143449,1.884528444,90.66496
2019/wolf/2019C/dblclockfft_butterfly_ck1-p063.btor2,nuxmv,ok,unsat,1.7107582576572895,10.045826638,525.594624
2019/wolf/2019C/dblclockfft_butterfly_ck1-p063.btor2,pono,ok,unsat,9.97842113673687,109.890665499,1960.18176
2019/wolf/2019C/dblclockfft_butterfly_ck1-p063.btor2,avr,ok,unsat,8.751786028034985,140.506996473,4889.063424
2019/wolf/2019C/dblclockfft_butterfly_ck1-p063.btor2,btor2-cert,to,none,3601.001319348812,4291.642832358,18431.471616
2019/wolf/2019C/dblclockfft_butterfly_ck1-p167.btor2,btormc,ok,unsat,0.5109474761411548,0.502945217,55.496704
2019/wolf/2019C/dblclockfft_butterfly_ck1-p167.btor2,nuxmv,ok,unsat,0.3265937715768814,1.782466247,261.67296
2019/wolf/2019C/dblclockfft_butterfly_ck1-p167.btor2,pono,ok,unsat,6.501506268978119,71.667259236,1833.906176
2019/wolf/2019C/dblclockfft_butterfly_ck1-p167.btor2,avr,ok,unsat,4.654219686985016,74.599096704,3966.640128
2019/wolf/2019C/dblclockfft_butterfly_ck1-p167.btor2,btor2-cert,to,none,3601.001454354264,4128.952649039,18487.6032
2019/wolf/2019C/dblclockfft_butterfly_ck1-p171.btor2,btormc,ok,unsat,2.155485339462757,2.150556975,94.429184
2019/wolf/2019C/dblclockfft_butterfly_ck1-p171.btor2,nuxmv,ok,unsat,1.2163182310760021,7.129675674,502.51776
2019/wolf/2019C/dblclockfft_butterfly_ck1-p171.btor2,pono,ok,unsat,11.339162839576602,124.92922188,2127.765504
2019/wolf/2019C/dblclockfft_butterfly_ck1-p171.btor2,avr,ok,unsat,12.544250624254346,201.539926839,4842.950656
2019/wolf/2019C/dblclockfft_butterfly_ck1-p171.btor2,btor2-cert,to,none,3601.001397443004,4306.337740208,18544.050176
2019/wolf/2019C/dblclockfft_butterfly_ck1-p259.btor2,btormc,ok,unsat,2.142532268539071,2.138025931,101.470208
2019/wolf/2019C/dblclockfft_butterfly_ck1-p259.btor2,nuxmv,ok,unsat,0.8829245837405324,5.12541034,492.27776
2019/wolf/2019C/dblclockfft_butterfly_ck1-p259.btor2,pono,ok,unsat,11.162665764801204,122.997866936,2219.843584
2019/wolf/2019C/dblclockfft_butterfly_ck1-p259.btor2,avr,ok,unsat,10.563247581012547,169.421207369,4658.204672
2019/wolf/2019C/dblclockfft_butterfly_ck1-p259.btor2,btor2-cert,to,none,3601.0014574769884,4280.058566208,18296.89344
2019/wolf/2019C/dblclockfft_butterfly_ck1-p275.btor2,btormc,ok,unsat,96.11193551775068,96.073371035,173.932544
2019/wolf/2019C/dblclockfft_butterfly_ck1-p275.btor2,nuxmv,ok,unsat,64.46181535441428,386.483599019,1111.597056
2019/wolf/2019C/dblclockfft_butterfly_ck1-p275.btor2,pono,ok,unsat,120.18651657924056,1324.335960731,5729.865728
2019/wolf/2019C/dblclockfft_butterfly_ck1-p275.btor2,avr,ok,unsat,202.88701932691038,3258.358448659,19948.900352
2019/wolf/2019C/dblclockfft_butterfly_ck1-p275.btor2,btor2-cert,to,none,3601.0015037525445,10831.61643826,18658.783232
2019/wolf/2019C/dblclockfft_butterfly_ck1-p284.btor2,btormc,ok,unsat,1.1790170529857278,1.175234948,82.075648
2019/wolf/2019C/dblclockfft_butterfly_ck1-p284.btor2,nuxmv,ok,unsat,1.0045347148552537,5.848743939,498.946048
2019/wolf/2019C/dblclockfft_butterfly_ck1-p284.btor2,pono,ok,unsat,11.200967515818775,123.426270186,2285.52704
2019/wolf/2019C/dblclockfft_butterfly_ck1-p284.btor2,avr,ok,unsat,11.173736240714788,179.846395842,5268.484096
2019/wolf/2019C/dblclockfft_butterfly_ck1-p284.btor2,btor2-cert,to,none,3601.0013333121315,4295.149845766,18729.775104
2019/wolf/2019C/dblclockfft_butterfly_ck1-p351.btor2,btormc,ok,unsat,1.1400159252807498,1.13588847,81.05984
2019/wolf/2019C/dblclockfft_butterfly_ck1-p351.btor2,nuxmv,ok,unsat,0.8834772370755672,5.134871159,486.354944
2019/wolf/2019C/dblclockfft_butterfly_ck1-p351.btor2,pono,ok,unsat,10.53840391524136,116.061527125,2192.953344
2019/wolf/2019C/dblclockfft_butterfly_ck1-p351.btor2,avr,ok,unsat,11.492877920158207,184.80156519,5301.526528
2019/wolf/2019C/dblclockfft_butterfly_ck1-p351.btor2,btor2-cert,to,none,3601.001330743544,4276.057640901,18629.595136
2019/wolf/2019C/dblclockfft_butterfly_ck1-p355.btor2,btormc,ok,unsat,2.0212020985782146,2.016359297,105.897984
2019/wolf/2019C/dblclockfft_butterfly_ck1-p355.btor2,nuxmv,ok,unsat,0.9601876931264997,5.572205944,486.182912
2019/wolf/2019C/dblclockfft_butterfly_ck1-p355.btor2,pono,ok,unsat,13.019468294456601,143.396842633,2295.558144
2019/wolf/2019C/dblclockfft_butterfly_ck1-p355.btor2,avr,ok,unsat,10.87806807551533,174.748541353,5313.773568
2019/wolf/2019C/dblclockfft_butterfly_ck1-p355.btor2,btor2-cert,to,none,3601.0013699559495,4321.255601026,18537.32864
2019/wolf/2019C/dblclockfft_butterfly_ck2_r0-p083.btor2,btormc,ok,unsat,58.31110576353967,58.289035713,146.219008
2019/wolf/2019C/dblclockfft_butterfly_ck2_r0-p083.btor2,nuxmv,ok,unsat,20.565050239674747,123.185903984,1123.373056
2019/wolf/2019C/dblclockfft_butterfly_ck2_r0-p083.btor2,avr,ok,unsat,58.8631753353402,945.130932733,5516.181504
2019/wolf/2019C/dblclockfft_butterfly_ck2_r0-p083.btor2,pono,ok,unsat,91.94989780988544,1013.071829234,4517.523456
2019/wolf/2019C/dblclockfft_butterfly_ck2_r0-p083.btor2,btor2-cert,to,none,3601.0013848161325,7641.156855524,18443.173888
2019/wolf/2019C/dblclockfft_butterfly_ck2_r0-p253.btor2,btormc,ok,unsat,6.615135043859482,6.608823036,78.880768
2019/wolf/2019C/dblclockfft_butterfly_ck2_r0-p253.btor2,nuxmv,ok,unsat,4.372111157514155,26.048605738,487.268352
2019/wolf/2019C/dblclockfft_butterfly_ck2_r0-p253.btor2,pono,ok,unsat,9.491882941685617,104.457865996,1596.215296
2019/wolf/2019C/dblclockfft_butterfly_ck2_r0-p253.btor2,avr,ok,unsat,13.398597528226674,215.064979126,3182.813184
2019/wolf/2019C/dblclockfft_butterfly_ck2_r0-p253.btor2,btor2-cert,to,none,3601.001544754952,4680.944284088,18041.798656
2019/wolf/2019C/dblclockfft_butterfly_ck3_r0-p032.btor2,btormc,ok,unsat,7.146452941000462,7.140708659,86.528
2019/wolf/2019C/dblclockfft_butterfly_ck3_r0-p032.btor2,nuxmv,ok,unsat,3.034458562731743,18.032174944,630.054912
2019/wolf/2019C/dblclockfft_butterfly_ck3_r0-p032.btor2,avr,ok,unsat,13.924331123940647,223.674999679,3897.004032
2019/wolf/2019C/dblclockfft_butterfly_ck3_r0-p032.btor2,pono,ok,unsat,34.70251443143934,382.298314888,2904.219648
2019/wolf/2019C/dblclockfft_butterfly_ck3_r0-p032.btor2,btor2-cert,to,none,3600.320143991,9803.234711046,27409.543168
2019/wolf/2019C/dblclockfft_butterfly_ck3_r0-p079.btor2,btormc,ok,unsat,4.611207780428231,4.605885203,44.920832
