benchmark;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem
dblclockfft_butterfly_ck1-p191;avr;uns;-1;33.93;522.36;7431.0;btormc;uns;-1;5.11;5.00;102.0;cosa2;uns;-1;2544.74;9897.95;7470.0;nuxmv;uns;-1;94.54;281.51;1299.0;pono;uns;-1;6.48;38.09;593.0
dblclockfft_butterfly_ck1-p199;avr;uns;-1;3.20;33.96;2388.0;btormc;uns;-1;0.20;0.10;20.0;cosa2;uns;-1;24.63;98.86;884.0;nuxmv;uns;-1;1.91;3.76;316.0;pono;uns;-1;0.29;0.71;143.0
dblclockfft_butterfly_ck1-p200;avr;uns;-1;5.29;64.28;3702.0;btormc;uns;-1;0.53;0.50;45.0;cosa2;uns;-1;205.94;828.94;2348.0;nuxmv;uns;-1;6.75;18.58;503.0;pono;uns;-1;0.62;3.14;245.0
dblclockfft_butterfly_ck1-p212;avr;uns;-1;3.44;39.18;2993.0;btormc;uns;-1;0.37;0.29;34.0;cosa2;uns;-1;84.94;341.65;1677.0;nuxmv;uns;-1;4.77;12.53;431.0;pono;uns;-1;0.41;1.36;198.0
dblclockfft_butterfly_ck1-p214;avr;uns;-1;1.83;18.72;2235.0;btormc;uns;-1;0.19;0.10;19.0;cosa2;uns;-1;10.20;40.46;640.0;nuxmv;uns;-1;1.93;3.78;336.0;pono;uns;-1;0.29;0.76;145.0
dblclockfft_butterfly_ck1-p222;avr;uns;-1;120.05;1903.12;9472.0;btormc;uns;-1;49.08;49.00;76.0;cosa2;unk;-1;1091.75;4395.63;1402.0;nuxmv;uns;-1;819.88;2457.56;2868.0;pono;uns;-1;52.80;317.39;740.0
dblclockfft_butterfly_ck1-p223;avr;uns;-1;1.67;15.98;1878.0;btormc;uns;-1;0.15;0.10;20.0;cosa2;uns;-1;2.88;11.03;316.0;nuxmv;uns;-1;1.62;2.73;299.0;pono;uns;-1;0.25;0.74;144.0
dblclockfft_butterfly_ck1-p255;avr;uns;-1;103.74;1640.82;8350.0;btormc;uns;-1;31.74;31.69;148.0;cosa2;unk;-1;2487.14;10015.45;5262.0;nuxmv;uns;-1;897.43;2690.04;5118.0;pono;uns;-1;39.42;237.06;1231.0
dblclockfft_butterfly_ck1-p257;avr;uns;-1;1.65;15.73;2027.0;btormc;uns;-1;0.20;0.09;20.0;cosa2;uns;-1;24.45;98.07;899.0;nuxmv;uns;-1;1.88;3.81;325.0;pono;uns;-1;0.30;0.67;142.0
dblclockfft_butterfly_ck1-p265;avr;uns;-1;119.78;1896.87;8476.0;btormc;uns;-1;46.84;46.79;205.0;cosa2;time;-1;3600.10;14495.39;5770.0;nuxmv;uns;-1;1361.61;4082.76;2645.0;pono;uns;-1;73.53;442.77;1516.0
dblclockfft_butterfly_ck1-p267;avr;uns;-1;1.62;14.20;1688.0;btormc;uns;-1;0.11;0.00;0.0;cosa2;uns;-1;0.41;1.00;117.0;nuxmv;uns;-1;1.09;1.40;215.0;pono;uns;-1;0.23;0.73;141.0
dblclockfft_butterfly_ck1-p269;avr;uns;-1;8.14;109.62;4283.0;btormc;uns;-1;1.22;1.20;57.0;cosa2;uns;-1;554.02;2230.77;3990.0;nuxmv;uns;-1;12.40;35.24;863.0;pono;uns;-1;1.20;6.17;363.0
dblclockfft_butterfly_ck1-p276;avr;uns;-1;1.71;15.73;1969.0;btormc;uns;-1;0.14;0.10;20.0;cosa2;uns;-1;2.92;11.05;307.0;nuxmv;uns;-1;1.27;1.88;249.0;pono;uns;-1;0.25;0.72;144.0
dblclockfft_butterfly_ck1-p285;avr;uns;-1;5.57;69.71;4000.0;btormc;uns;-1;0.69;0.59;49.0;cosa2;uns;-1;298.42;1201.02;2950.0;nuxmv;uns;-1;11.46;32.58;649.0;pono;uns;-1;0.73;3.73;274.0
dblclockfft_butterfly_ck1-p286;avr;uns;-1;3.23;35.57;2343.0;btormc;uns;-1;0.24;0.20;29.0;cosa2;uns;-1;24.54;98.41;826.0;nuxmv;uns;-1;2.02;4.17;307.0;pono;uns;-1;0.34;1.33;191.0
dblclockfft_butterfly_ck1-p304;avr;uns;-1;1.07;6.15;824.0;btormc;uns;-1;0.26;0.20;26.0;cosa2;uns;-1;49.33;198.18;1275.0;nuxmv;uns;-1;2.60;5.84;375.0;pono;uns;-1;0.33;1.32;189.0
